_id|majorTypeGroup_id
F1|F
F2|F
F3|F
F4|F
F5|F
H1|H
H2|H
H3|H
H4|H
I1|I
I2|I
L1|L
L2|L
L3|L
L4|L
L5|L
L6|L
L7|L
L8|L
M10|M
M11|M
M12|M
M13|M
M14|M
M15|M
M1|M
M2|M
M3|M
M4|M
M5|M
M6|M
M7|M
M8|M
M9|M
T10|T
T11|T
T12|T
T13|T
T14|T
T15|T
T16|T
T17|T
T18|T
T19|T
T1|T
T20|T
T21|T
T22|T
T23|T
T24|T
T25|T
T26|T
T27|T
T28|T
T29|T
T2|T
T30|T
T31|T
T32|T
T33|T
T34|T
T35|T
T36|T
T37|T
T38|T
T39|T
T3|T
T40|T
T41|T
T42|T
T43|T
T44|T
T45|T
T4|T
T5|T
T6|T
T7|T
T8|T
T9|T
V10|V
V11|V
V12|V
V13|V
V1|V
V2|V
V3|V
V4|V
V5|V
V6|V
V7|V
V8|V
V9|V
