minorType_id|standardSegment_id
T4-1|T4-UF.ab
T4-1|T4-KA.abc
T4-1|T4-KI.0a
T4-10|T4-UF.ef
T4-10|T4-KA.de
T4-10|T4-KI.0a
T4-11|T4-UF.ef
T4-11|T4-KA.fg
T4-11|T4-KI.0a
T4-12|T4-UF.ef
T4-12|T4-KA.hi
T4-12|T4-KI.0a
T4-13|T4-UF.gh
T4-13|T4-KA.abc
T4-13|T4-KI.0a
T4-14|T4-UF.gh
T4-14|T4-KA.de
T4-14|T4-KI.0a
T4-15|T4-UF.gh
T4-15|T4-KA.fg
T4-15|T4-KI.0a
T4-16|T4-UF.gh
T4-16|T4-KA.hi
T4-16|T4-KI.0a
T4-17|T4-UF.ab
T4-17|T4-KA.de
T4-17|T4-KI.bc
T4-18|T4-UF.ab
T4-18|T4-KA.fg
T4-18|T4-KA.hi
T4-18|T4-KI.bc
T4-19|T4-UF.cd
T4-19|T4-KA.fg
T4-19|T4-KA.hi
T4-19|T4-KI.bc
T4-2|T4-UF.ab
T4-2|T4-KA.de
T4-2|T4-KI.0a
T4-20|T4-UF.ef
T4-20|T4-KA.fg
T4-20|T4-KA.hi
T4-20|T4-KI.bc
T4-3|T4-UF.ab
T4-3|T4-KA.fg
T4-3|T4-KI.0a
T4-4|T4-UF.ab
T4-4|T4-KA.hi
T4-4|T4-KI.0a
T4-5|T4-UF.cd
T4-5|T4-KA.abc
T4-5|T4-KI.0a
T4-6|T4-UF.cd
T4-6|T4-KA.de
T4-6|T4-KI.0a
T4-7|T4-UF.cd
T4-7|T4-KA.fg
T4-7|T4-KI.0a
T4-8|T4-UF.cd
T4-8|T4-KA.hi
T4-8|T4-KI.0a
T4-9|T4-UF.ef
T4-9|T4-KA.abc
T4-9|T4-KI.0a
